TITLE     = "Particles in 3D"
VARIABLES = "X" "Y" "Z" "UP" "VP" "WP" "MASS" "WT" "WTD" "DPM" "XN" "YN" "ZN" "SRCNUM
ZONE T="     0.0 seconds"
I=         4, J=1, K=1,F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE)
    66.168    51.489     0.626    -0.483     0.189    -0.006  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    90.467    55.072     1.762    -0.564     0.261     0.760  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    56.715    47.631     2.405     0.638    -0.170     0.098  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   115.315    54.585     0.308     0.171     0.163    -0.012  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   106.762    54.649     1.402     0.318     1.499    -0.330  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    69.837    50.812     1.886    -0.637    -0.176     0.232  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    60.917    55.453     0.668     0.373    -0.137     0.401  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    45.191    59.017     0.939     0.564     1.289    -0.516  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    75.191    46.387     3.525     0.228    -0.241     0.506  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    58.389    54.107     0.433     0.425     0.634     0.004  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    57.534    55.138     0.388    -0.150     0.382     0.362  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    43.075    54.851     0.755    -0.397     0.833     0.914  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   104.777    54.570     0.238    -0.630    -0.364    -0.217  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    64.870    52.900     0.199     0.082     0.654     0.360  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    94.832    52.255     0.578    -1.097    -0.341    -0.254  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   121.503    56.611     0.141    -1.166     0.590     0.210  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    74.699    45.765     2.095     0.158    -1.003     0.344  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    91.398    48.279     3.304    -0.621    -1.021     0.353  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    72.233    54.792     0.337     0.230     0.154     0.065  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   116.847    54.605     1.334     0.208     0.744     0.056  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    50.838    50.134     3.283    -0.452     0.125     0.644  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    50.531    46.435     1.474    -0.097    -1.058     0.355  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   131.882    56.990     1.119    -0.203     0.260    -0.323  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    38.221    54.086     1.086    -0.129    -0.457    -0.250  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   109.452    51.778     1.497     0.247    -0.155     0.786  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    56.644    55.064     0.290    -0.617     1.080     0.009  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    78.180    55.883     0.720    -0.320     1.286    -0.209  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   103.320    52.393     2.070     0.748     0.749    -0.053  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   111.503    49.267     1.359    -0.281    -1.238     0.241  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    69.420    48.851     1.660    -0.218    -1.220     0.076  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    78.341    51.275     0.635    -0.350     0.165     0.156  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    81.045    46.570     1.311     0.157    -0.421     0.700  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    56.956    52.891     0.331    -0.524    -0.349     0.032  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   120.396    51.340     0.659     0.195    -0.278    -0.293  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    37.867    57.495     0.869     0.533     0.729     0.964  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    41.664    59.645     0.586     0.128     0.705     0.045  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    48.321    54.379     0.586    -0.688     0.045    -0.140  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    38.040    60.971     0.868    -0.441     1.005    -0.285  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   121.410    52.831     1.443    -0.443     0.392    -0.146  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    48.101    49.842     1.109     0.108    -0.114    -0.097  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    54.750    49.597     1.672     0.184     0.574     0.175  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
